prefix,updates,avg_path_len,max_path_len,min_path_len,unique_origins,suspicious
102.215.164.0,1,4.0,4,4,1,False
102.215.188.0,1,4.0,4,4,1,False
102.215.28.0,1,5.0,5,5,1,False
102.216.10.0,1,4.0,4,4,1,False
102.216.144.0,1,4.0,4,4,1,False
102.216.148.0,2,5.0,5,5,1,False
102.216.150.0,1,5.0,5,5,1,False
102.217.164.0,1,3.0,3,3,1,False
102.217.166.0,1,3.0,3,3,1,False
102.217.167.0,1,3.0,3,3,1,False
102.218.0.0,1,4.0,4,4,1,False
102.219.248.0,1,4.0,4,4,1,False
102.219.249.0,1,4.0,4,4,1,False
102.219.250.0,1,4.0,4,4,1,False
102.220.104.0,1,6.0,6,6,1,False
102.220.105.0,1,6.0,6,6,1,False
102.220.106.0,1,6.0,6,6,1,False
102.220.107.0,1,6.0,6,6,1,False
102.220.200.0,4,5.5,6,5,1,False
102.220.202.0,2,5.5,6,5,1,False
102.220.203.0,2,5.5,6,5,1,False
102.220.72.0,1,9.0,9,9,1,False
102.220.88.0,1,4.0,4,4,1,False
102.221.12.0,2,3.0,3,3,1,False
102.221.13.0,1,3.0,3,3,1,False
102.221.14.0,1,3.0,3,3,1,False
102.222.119.0,1,7.0,7,7,1,False
102.222.220.0,1,4.0,4,4,1,False
102.222.221.0,1,4.0,4,4,1,False
102.222.222.0,1,4.0,4,4,1,False
102.222.70.0,1,4.0,4,4,1,False
102.223.173.0,1,4.0,4,4,1,False
102.223.28.0,2,3.5,4,3,1,False
102.223.29.0,2,3.5,4,3,1,False
102.223.72.0,1,4.0,4,4,1,False
102.223.75.0,1,4.0,4,4,1,False
102.23.99.0,1,4.0,4,4,1,False
102.24.0.0,1,5.0,5,5,1,False
102.26.0.0,1,5.0,5,5,1,False
102.28.0.0,1,5.0,5,5,1,False
102.36.216.0,1,5.0,5,5,1,False
102.36.217.0,1,5.0,5,5,1,False
102.36.218.0,1,4.0,4,4,1,False
102.36.219.0,1,5.0,5,5,1,False
102.36.220.0,1,5.0,5,5,1,False
102.36.221.0,1,4.0,4,4,1,False
102.36.222.0,1,4.0,4,4,1,False
102.38.232.0,71,3.0985915492957745,5,2,1,False
102.38.235.0,70,3.2857142857142856,5,2,1,False
102.53.192.0,16,11.375,14,7,1,False
102.53.200.0,17,11.470588235294118,14,7,1,False
102.53.208.0,16,11.375,14,7,1,False
102.53.216.0,16,11.375,14,7,1,False
102.64.8.0,1,4.0,4,4,1,False
102.66.139.0,3720,6.522311827956989,9,5,1,True
102.68.125.0,269,5.278810408921933,7,4,1,True
102.68.32.0,1,5.0,5,5,1,False
102.68.68.0,2,5.0,5,5,1,False
102.68.83.0,1,3.0,3,3,1,False
102.69.220.0,1,4.0,4,4,1,False
102.69.221.0,1,4.0,4,4,1,False
102.69.222.0,1,4.0,4,4,1,False
102.69.223.0,1,4.0,4,4,1,False
103.0.0.0,4,4.0,5,3,1,False
103.1.140.0,1,5.0,5,5,1,False
